類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
1990  ,3.1,2.7,3.1,2.6,2.5,2.6,4.0,10.9,2.4,1.7,3.6,5.1,2.7,5.3,11.5,15.8,11.5,11.9,2.8,2.8,2.5,0.7,2.2,2.4,3.1,3.4,2.8,2.6,4.3,2.3,-1.0,2.4,24.2,1.6,0.1,-1.3,0.8,-0.1,2.1,-0.5,2.8,4.8,5.5,4.1,5.7,4.9,6.2,2.6,3.5,3.2,2.6,0.5,0.8,-3.2,1.5,1.4,1.4,2.2,-0.6,5.0,5.1,1.7,5.2,3.4,-0.9,2.1,2.8,4.8,1.1,2.2,-0.1,2.8,0.0,0.0,3.4,4.3,3.0,
1991  ,3.3,2.9,3.3,2.9,2.9,2.6,4.8,9.8,3.7,2.5,4.0,2.6,2.9,4.9,13.2,15.8,11.6,11.3,6.5,3.6,5.0,1.9,2.1,2.8,3.1,3.6,2.9,2.5,5.1,2.3,0.0,4.1,11.8,0.9,0.8,-2.1,1.3,0.2,4.6,1.8,3.0,4.7,5.2,3.0,5.5,4.4,4.8,3.3,5.2,3.2,3.7,0.3,2.0,-0.5,0.5,0.7,1.0,1.4,-1.8,4.8,4.6,7.5,5.3,2.9,-0.9,3.7,2.4,3.5,1.9,2.9,0.5,3.8,0.1,0.0,2.4,4.6,2.4,
1992  ,1.6,2.2,1.6,2.1,2.5,2.5,0.6,-6.5,2.1,2.8,1.6,-1.5,1.2,-5.0,-8.6,-15.5,1.6,1.2,0.7,1.9,2.6,4.3,0.3,2.4,3.1,3.8,2.7,2.8,5.0,0.1,0.0,0.3,-3.7,1.7,1.2,-0.2,3.2,0.3,3.0,-0.1,2.8,3.1,2.9,2.8,3.0,3.6,3.1,4.8,2.1,3.6,3.5,3.1,0.4,0.7,4.6,0.5,2.3,0.4,-2.0,4.4,4.4,0.7,4.4,3.2,-0.7,1.5,9.7,2.9,1.7,4.3,0.5,1.4,0.4,0.7,-1.1,4.2,2.8,
1993  ,1.3,1.3,1.1,1.2,1.3,1.4,1.0,0.4,1.2,2.2,-0.6,-1.5,-0.8,-0.5,7.9,11.5,-11.4,-11.8,-0.3,1.0,1.5,1.6,-0.1,1.9,2.6,3.2,2.4,2.6,4.1,0.7,-0.3,0.2,0.8,3.6,-0.3,-1.1,0.4,-0.7,1.1,-1.7,2.5,0.0,-0.8,1.5,-1.2,0.0,-0.6,1.8,0.7,1.1,2.5,0.4,0.0,-0.6,2.0,0.3,1.1,0.8,-2.4,4.2,4.4,3.8,4.0,1.6,-3.0,2.0,1.4,2.4,1.4,2.9,0.7,0.3,0.2,18.7,0.1,3.7,1.4,
1994  ,0.7,0.8,0.5,0.6,0.9,0.8,0.8,0.1,1.0,5.5,-1.7,-1.4,-1.3,-0.2,-0.1,-1.6,4.3,5.0,-0.9,0.4,0.8,0.5,2.0,1.1,2.3,2.3,2.2,2.1,2.4,-0.3,-1.3,-0.9,-3.7,4.1,-2.1,-4.0,-0.6,-3.3,0.5,-3.2,1.6,-1.2,-2.2,0.4,-2.7,-0.4,-0.9,1.5,-0.9,0.3,1.4,0.3,0.2,-1.8,1.7,-0.6,0.6,-0.5,-3.2,3.2,3.8,1.9,1.7,1.2,-5.9,0.0,5.4,1.6,0.8,2.0,1.0,-0.7,0.2,2.9,-1.8,2.7,0.7,
1995  ,-0.1,0.0,-0.3,-0.3,0.2,0.7,-1.2,-1.7,-1.1,-7.4,-1.3,-1.4,-0.3,0.1,-3.4,-5.3,3.2,3.5,-1.8,-0.3,-0.4,1.4,0.8,-0.1,2.0,2.3,1.9,1.9,2.8,0.2,-0.2,0.3,-4.3,2.4,-1.8,-3.2,-0.9,-2.9,0.4,-3.8,1.5,-0.5,-1.0,-0.3,-1.1,0.0,-0.6,1.1,-0.2,0.0,0.5,0.1,0.8,-2.0,0.9,0.1,1.8,-2.2,4.0,2.9,3.2,0.0,2.7,-0.7,-9.9,-1.3,1.3,0.5,0.3,1.9,-0.2,-0.8,0.0,1.2,-1.9,2.4,-0.6,
1996  ,0.1,0.2,0.0,-0.1,0.4,0.5,-0.1,0.4,-0.2,-1.3,1.9,3.6,1.3,0.4,-1.8,-2.6,-0.3,-0.1,-1.6,0.0,0.5,-0.4,-0.4,-0.3,1.4,1.4,1.4,1.2,1.7,-0.2,-2.9,0.8,3.4,3.5,-2.0,-4.2,-1.0,-2.0,0.0,-2.7,2.0,1.1,1.4,1.8,1.4,1.4,1.3,1.5,0.1,0.2,0.5,0.7,0.7,-1.3,1.5,-0.7,2.9,-2.6,-0.9,2.4,2.5,0.7,2.2,-1.1,-11.1,-1.2,0.7,0.3,0.4,1.5,-0.3,-0.3,0.0,7.2,-2.5,2.1,-0.6,
1997  ,1.8,1.7,1.6,1.8,1.6,1.6,1.8,0.4,2.0,0.4,2.3,2.4,4.1,1.4,1.1,0.3,-2.3,-2.5,0.9,1.5,2.4,1.7,0.9,2.5,1.6,1.4,1.4,0.8,2.2,4.7,3.5,5.7,7.0,4.8,-0.9,-2.6,-0.5,-0.2,0.6,-2.0,3.0,2.3,2.3,0.9,2.5,2.7,2.5,3.3,2.3,2.3,1.8,4.6,1.1,-0.3,8.9,0.0,1.6,-0.6,-0.6,2.1,2.0,2.1,2.3,1.5,-6.0,1.8,2.2,2.4,1.6,2.4,0.0,2.4,1.7,2.6,2.9,2.1,1.5,
1998  ,0.6,0.3,0.7,0.3,0.7,0.7,1.4,6.9,0.3,-1.9,1.3,1.6,0.9,-1.5,10.5,16.7,0.3,0.4,-0.3,0.6,0.8,2.3,-0.4,0.8,0.6,0.1,0.7,-0.1,0.4,-1.5,-3.9,0.3,-8.4,3.0,-1.5,-3.9,-1.2,-1.3,0.3,-1.9,2.3,1.4,1.7,0.3,1.8,1.1,1.1,1.0,1.1,1.1,0.7,7.1,0.0,-1.1,14.6,-1.6,0.8,-2.8,-2.1,1.9,2.0,1.8,1.6,0.1,-2.6,0.4,1.1,0.2,0.7,1.4,-0.2,0.7,1.0,3.0,-4.3,2.0,0.1,
1999  ,-0.3,0.0,-0.4,-0.2,0.0,-0.1,-0.5,-4.7,0.5,0.6,-0.3,-1.2,-0.8,1.3,-7.7,-12.2,3.0,3.1,-0.4,1.5,-0.1,1.3,0.0,0.3,-0.1,-0.5,0.0,-0.3,-0.8,-1.6,-2.0,-1.7,-6.5,1.3,-1.2,-2.5,-0.9,-0.4,-0.9,-1.2,0.9,-0.2,-0.1,-0.1,-0.1,-0.2,-0.6,0.9,0.0,-0.5,-0.2,-0.7,-0.1,-1.3,-0.9,-0.2,0.2,-0.4,-0.2,1.4,1.8,0.4,0.6,-0.8,-3.3,-0.9,0.3,-0.7,1.0,0.4,-0.8,-1.4,7.1,1.3,-1.7,1.3,-0.5,
2000  ,-0.7,-0.4,-0.9,-0.5,-0.6,-0.4,-1.9,-6.5,-1.0,-2.1,-2.1,-2.8,-1.4,-0.7,-6.1,-9.7,-7.5,-7.8,-1.5,0.2,-0.8,-0.2,-0.6,-1.0,0.2,-0.4,0.4,-0.1,-0.9,1.6,0.6,1.5,7.9,1.7,-3.0,-6.6,-1.6,-1.6,-1.8,-1.4,0.8,-1.1,-1.7,-0.4,-1.8,-0.7,-1.5,1.5,-0.5,-1.0,-0.1,-0.8,-0.2,-2.5,-0.5,0.3,0.1,1.6,-2.9,1.1,1.5,0.3,0.4,-0.9,-6.5,-1.1,0.2,-0.4,-0.4,0.4,-0.6,-1.2,0.0,1.0,3.1,1.0,-0.9,
2001  ,-0.7,-0.8,-0.9,-1.0,-0.9,-0.9,-0.6,0.8,-0.9,-1.8,-0.6,-0.8,-0.3,-1.7,2.0,3.4,-0.9,-0.8,-1.3,-1.3,-1.1,-1.7,-0.7,-0.6,0.2,-0.5,0.4,-0.1,-0.8,0.6,-1.4,1.9,6.5,1.8,-3.6,-7.6,-1.1,-3.7,-0.9,-3.2,0.4,-2.2,-3.1,-3.4,-3.0,-2.4,-3.2,-0.6,-1.1,0.2,-0.1,0.7,-0.8,-2.4,2.8,-0.9,0.3,0.8,-6.1,1.1,1.2,1.6,0.5,-3.0,-21.3,-1.1,0.2,-1.0,-0.2,0.3,-0.8,-0.1,0.0,0.2,0.5,0.9,-2.6,
2002  ,-0.9,-0.9,-1.1,-1.0,-0.7,-0.8,-0.8,-1.8,-0.6,-0.9,-0.4,-0.1,0.6,-0.3,-1.9,-2.4,-3.4,-3.4,-1.5,-2.2,-0.4,-1.6,-0.9,0.3,-0.1,-0.5,0.0,-0.3,-1.0,-1.2,-2.2,-0.7,-6.4,1.5,-3.6,-7.7,-2.6,-3.2,-1.6,-2.8,0.7,-2.2,-3.2,-4.5,-3.2,-2.6,-3.3,-0.7,-1.0,0.4,-0.2,-1.2,-0.9,-3.4,-0.6,-0.6,-0.2,-0.4,-1.5,1.0,1.1,1.1,1.3,-2.2,-15.2,-2.0,0.1,-0.9,0.2,0.0,-1.2,2.2,0.0,0.2,-2.4,0.8,-2.0,
2003  ,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,-0.2,0.7,-0.4,1.4,-1.9,-2.6,0.8,-1.0,2.1,4.0,0.5,0.8,-2.3,-0.3,-0.6,-2.6,-0.8,-0.1,-0.1,-0.6,0.1,-0.3,-0.9,-0.5,-2.1,0.0,5.1,0.6,-3.0,-7.6,-3.4,-2.3,-1.4,0.7,0.3,-1.9,-2.6,-2.2,-2.6,-2.1,-3.0,-0.2,-0.9,0.2,-0.2,3.4,-0.6,-2.7,7.7,0.1,0.2,0.0,-0.1,0.6,0.9,-0.4,-0.3,-1.5,-13.8,-2.0,0.2,0.0,0.9,0.0,-1.5,3.9,4.1,-0.3,0.1,0.5,-1.4,
